"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringRead614Kb:ThreadCPU","thrpt",3,5,23206.400000,24245.016112,"ThreadCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringWrite118Kb","thrpt",3,5,837.709318,22.177868,"ops/ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringWrite118Kb:GC-Collections","thrpt",3,5,12.400000,8.864848,"GC Collections"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringWrite118Kb:GC-Time","thrpt",3,5,42.200000,30.000446,"GC Time"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringWrite118Kb:JVMCPU","thrpt",3,5,17804.000000,879.178833,"JVMCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringWrite118Kb:MemAlloc","thrpt",3,5,3879299.796000,20.393833,"Memory Allocated kB"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringWrite118Kb:ThreadCPU","thrpt",3,5,6013.800000,143.262585,"ThreadCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringWrite1Kb","thrpt",3,5,988.874603,102.515912,"ops/ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringWrite1Kb:GC-Collections","thrpt",3,5,11.200000,15.969730,"GC Collections"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringWrite1Kb:GC-Time","thrpt",3,5,35.800000,38.736789,"GC Time"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringWrite1Kb:JVMCPU","thrpt",3,5,15190.000000,184.670395,"JVMCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringWrite1Kb:MemAlloc","thrpt",3,5,4772948.314000,211405.677593,"Memory Allocated kB"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringWrite1Kb:ThreadCPU","thrpt",3,5,4962.200000,40.878535,"ThreadCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringWrite56Kb","thrpt",3,5,805.958669,196.545441,"ops/ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringWrite56Kb:GC-Collections","thrpt",3,5,7.600000,5.839791,"GC Collections"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringWrite56Kb:GC-Time","thrpt",3,5,36.200000,64.857922,"GC Time"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringWrite56Kb:JVMCPU","thrpt",3,5,16210.000000,1378.992956,"JVMCPU ms"
